,Plantnummer:,Maximale groeihoogte (in CM):,Wintergroen?:,Bloeimaand:,Vochtigheid grond:,Positie in de tuin:,Bladkleur:,Bloemkleur:,Plantenfamilie:,Nederlandse naam:,Geslacht:,Plantdichtheid Aantal planten per m2:,Type,winterhard:,Wat voor soort grond past erbij?:,Bijvriendelijk:,Soort bodem:,Type tuin :,Snoeiperiode:,Giftig:,Groeiwijze klimplant:,Ondersteuning klimplant:,Haagplanten per strekkende meter:,pH waarde:,Stekels:,Planttijd:,Voeding / Bemesting:,Voeding periode:
18,YAR3220,500,Nee,"April, Mei",Vochthoudend-vochtig,Halfschaduw,Groen,Roze,Magnoliaceae,Beverboom,Magnolia,,Heesters en Struiken,Ja,Zwak zuur tot licht basisch,,,,,Nee,,,,,,,,
19,YAR2508,40,Ja,"Mei, Juni, Juli, Augustus",Droog-vochthoudend,Zon,"Groen, Grijs","Wit, Roze",Caryophyllaceae,Blaassilene,Silene,,Borderplanten,,,,,,,,,,,,,,,
20,YAR1130,120,Nee,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,Groen,"Paars, Blauw",Verbenaceae,Blauwe verbena,Verbena,7-9,Borderplanten,,,,,,,,,,,,,,,
21,YAR3750,750,Nee,Mei,Droog-vochthoudend,Zon,Groen,,Vitaceae,Blauwe druif,Vitis,,Klimplanten,Ja,,,,,,,Ranken,"Klimdraad, Spandraad, Multibinder",,,,,,
22,YAR23518,500,Nee,"Mei, Augustus",Droog-vochthoudend,"Zon, Halfschaduw",Groen,,Vitaceae,Blauwe druif,Vitis,,Tuin thema's en Meer,Ja,,,,,,,Ranken,"Klimdraad, Spandraad, Multibinder",2,,,,,
23,YAR2694,80,Nee,"Juni, Juli, Augustus",Vochthoudend,Halfschaduw,Groen,Blauw,Papaveraceae,Blauwe klaproos,Meconopsis,11-15,Borderplanten,,,,,,,,,,,,,,,
24,YAR3582,80,Nee,"Juni, Juli, Augustus",Vochthoudend,Halfschaduw,Groen,Wit,Papaveraceae,Blauwe klaproos,Meconopsis,11-15,Borderplanten,,,,,,,,,,,,,,,
25,YAR1951,600,Nee,Mei,Vochthoudend,Zon,Groen,Wit,Fabaceae,Blauwe regen,Wisteria,,Klimplanten,,Zwak zuur tot neutraal,,,,,,,,,,,,,
26,YAR307,1000,Nee,"April, Mei",Vochthoudend,Zon,Groen,"Paars, Blauw",Fabaceae,Blauweregen,Wisteria,,Klimplanten,,Zwak zuur tot neutraal,,,,,,,,,,,,,
27,YAR4265,1000,Nee,Mei,Vochthoudend,Zon,Groen,Roze,Fabaceae,Blauweregen,Wisteria,,Klimplanten,,Zwak zuur tot neutraal,,,,,,,,,,,,,
28,YAR53,1000,Nee,Mei,Vochthoudend,Zon,Groen,"Paars, Blauw",Fabaceae,Blauweregen,Wisteria,,Tuin thema's en Meer,,Zwak zuur tot neutraal,,,,,,,,,,,,,
29,YAR1977,120,Nee,"Juni, Juli",Vochtig,Halfschaduw / zon,Groen,Wit,Iteaceae,Itea,Itea,,Tuin thema's en Meer,,Zuur tot zwak zuur,,,,,,,,,,,,,
30,YAR4088,130,Nee,"Augustus, Juli",Vochthoudend-vochtig,Halfschaduw,Groen,"Roze, Blauw, Paars",Hydrangeaceae,Hortensia,Hydrangea,1,Tuin thema's en Meer,,,,,,,,,,,,,,,
31,YAR3701,100,Nee,"September, Augustus, Juli, Juni",Vochthoudend-vochtig,Lichte / halfschaduw,Groen,Blauw,Hydrangeaceae,Hortensia,Hydrangea,1,Heesters en Struiken,,Zuur tot neutraal,,,,,,,,,,,,,
32,YAR1257,80,Nee,"Juli, Augustus, September",Droog-vochthoudend,Zon,Groen,Geel,Asteraceae,Boerenwormkruid,Tanacetum,,Borderplanten,,,,,,,,,,,,,,,
33,YAR3266,80,Nee,"Juli, Augustus, September",Droog-vochthoudend,Zon,Groen,Geel,Asteraceae,Boerenwormkruid,Tanacetum,,Borderplanten,,,,,,,,,,,,,,,
34,YAR2358,200,Nee,"Juni, Juli",Droog-vochthoudend,Zon,"Groen, Blauw",Wit,Brassicaceae,Bolletjeskool,Crambe,,Borderplanten,,,,,,,,,,,,,,,
35,YAR27141,200-350,Ja,,Droog-vochthoudend,"Zon, Halfschaduw, Schaduw",Groen,,Taxaceae,Bolvormige taxus,Taxus,1,Haagplanten,Tot -25 graden Celsius,Neutraal,,Alle,,,Ja,,,,6-8,,,,
36,YAR370,25,Ja,"Mei, Juni",Droog-vochthoudend,"Schaduw, Halfschaduw","Wit, Groen",Geel,Lamiaceae,Bonte gele dovenetel,Lamiastrum,,Borderplanten,,,,,,,,,,,,,,,
37,YAR2063,600,Ja,"April, Mei",Vochthoudend-vochtig,Lichte schaduw,Wit,Rood,Aquifoliaceae,Bonte hulst,Ilex,,Haagplanten,Ja,Zuur tot zwak zuur,Ja,,,"Mei, September",Ja,,,3-4,,Ja,,,
38,YAR3480,150,Ja,"Juli, Augustus",Droog,Zon,Groen,Geel,Fabaceae,Boomlupine,Lupinus,5-7,Borderplanten,,,,,,,,,,,,,,,
39,YAR979,400,Nee,"Juni, Juli, Augustus",Vochthoudend-vochtig,"Halfschaduw, Zon",Groen,Rood,Ranunculaceae,"Clematis, Bosrank",Clematis,,Klimplanten,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
40,YAR516,600,Nee,"Juni, Juli",Vochthoudend-vochtig,"Halfschaduw, Zon",Groen,Wit,Ranunculaceae,Bosrank,Clematis,,Klimplanten,,Zwak zuur tot licht basisch,,,,,,Ranken,"Klimdraad, Multibinder, Spandraad",,6-8,,,,
41,YAR325,400,Nee,"Juni, Juli",Vochthoudend-vochtig,"Halfschaduw, Zon",Groen,Wit,Ranunculaceae,"Clematis, Bosrank",Clematis,1,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,5.5-8,,,,
42,YAR2949,600,Nee,"Juni, Juli, Augustus",Vochthoudend-vochtig,"Halfschaduw, Zon",Groen,Geel,Ranunculaceae,Clematis,Clematis,1-3,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
43,YAR2813,100,Ja,"Juni, Juli",Droog,Zon,Grijs,Geel,Lamiaceae,Brandkruid,Phlomis,5-7,Borderplanten,,,,,,,,,,,,,,,
44,YAR3565,100,Ja,"Juli, Augustus",Droog-vochthoudend,"Zon, Halfschaduw",Groen,Geel,Lamiaceae,Brandkruid,Phlomis,7-9,Borderplanten,,,,,,,,,,,,,,,
45,YAR3435,200,Ja,,Vochthoudend-vochtig,"Halfschaduw, Schaduw","Geel, Gemengd",,Garryaceae,Broodboom,Aucuba,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
46,YAR3783,200,Ja,Mei,Vochthoudend-vochtig,"Halfschaduw, Schaduw",Groen,Rood,Garryaceae,Broodboom,Aucuba,,Tuin thema's en Meer,Ja,Zwak zuur tot licht basisch,,,,"Maart, April, Mei",,,,3-5,5.5-8,,,,
47,YAR624,200,Ja,Mei,Vochthoudend-vochtig,"Halfschaduw, Schaduw",Geel,Rood,Garryaceae,Broodboom,Aucuba,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
48,YAR662,2000,Nee,,Vochthoudend-vochtig,Halfschaduw / zon,Bruin,,Fagaceae,Bruine beuk,Fagus,,Bomen,,Neutraal tot basisch,,,,,,,,,,,,,
49,YAR3948,2000,Nee,,Vochthoudend-vochtig,Halfschaduw / zon,"Bruin, Rood",,Fagaceae,Beuk,Fagus,,Haagplanten,,Neutraal tot basisch,,,,,,,,3-4,7-9,,,,
50,YAR461,30,Ja,,Droog-vochthoudend,Lichte schaduw / zon,Groen,,Buxaceae,Palmboompje,Buxus,3-5,Haagplanten,,Neutraal tot basisch,,,Alle,"Maart, September",,,,3-5,6-8,,Alle,,
51,YAR3925,200,Ja,"Maart, April, Mei",,Halfschaduw / zon,Groen,Rood,Theaceae,,Camellia,,Tuin thema's en Meer,Ja,Alle,,,,,,,,,,,,,
52,YAR316a,400,Nee,"April, Mei",Vochthoudend-vochtig,"Halfschaduw, Zon",Groen,Wit,Rosaceae,Canadese Krentenboom,Amelanchier,,Tuin thema's en Meer,,Zuur tot zwak zuur,,,,,,,,,,,,,
53,YAR3664,500,Nee,April,Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Roze,Rosaceae,Cheal's treurkers,Prunus,,Bomen,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
54,YAR24921,,,,,,,,,,,,Tuin thema's en Meer,,,,,,,,,,,,,,,
55,YAR3180,75,Ja,,Droog-vochthoudend,Lichte schaduw / zon,"Groen, Blauw",,Cupressaceae,Chinese jeneverbes,Juniperus,,Tuin thema's en Meer,,Neutraal tot basisch,,,,,,,,,,,,,
56,YAR1276,70,Nee,"September, Oktober",Droog-vochthoudend,Zon,Groen,Roze,Asteraceae,Chrysant,Dendranthema,5-7,Borderplanten,,,,,,,,,,,,,,,
57,YAR2518,40,Ja,"Juli, Augustus",Droog,Zon,Groen,Wit,Asteraceae,Cipressenkruid,Santolina,5-7,Borderplanten,,,,,,,,,,,,,,,
58,YAR500,40,Ja,"Juli, Augustus",Droog,Zon,Grijs,Wit,Asteraceae,Cipressenkruid,Santolina,5-7,Borderplanten,,,,,,,,,,,,,,,
59,YAR3201,50,Ja,"Juli, Augustus",Droog,Zon,Blauw,Geel,Asteraceae,Heiligenbloem,Santolina,5-7,Borderplanten,,,,,,,,,,,,,,,
60,YAR2034,10,Ja,"Juni, Juli",Droog-vochthoudend,Zon,"Geel, Gemengd",Paars,Lamiaceae,Citroentijm,Thymus,,Borderplanten,,,,,,,,,,,,,,,
61,YAR2919,15,Ja,"Juni, Juli",Droog-vochthoudend,Zon,"Geel, Gemengd",Paars,Lamiaceae,Citroentijm,Thymus,,Borderplanten,,,,,,,,,,,,,,,
62,YAR431,80,Nee,"Juni, Juli, Augustus",Droog-vochthoudend,Zon,Groen,Paars,Liliaceae,Daglelie,Hemerocallis,5-7,Borderplanten,,,,,,,,,,,,,,,
63,YAR637,60,Nee,"Juni, Juli, Augustus",Droog-vochthoudend,Zon,Groen,Rood,Liliaceae,Daglelie,Hemerocallis,5-7,Borderplanten,,,,,,,,,,,,,,,
64,YAR668,70,Nee,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,Groen,"Rood, Bruin",Liliaceae,Daglelie,Hemerocallis,5-7,Borderplanten,,,,,,,,,,,,,,,
65,YAR752,70,Nee,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,Groen,Geel,Liliaceae,Daglelie,Hemerocallis,5-7,Borderplanten,,,,,,,,,,,,,,,
66,YAR616,80,Nee,"Juni, Juli, Augustus",Droog-vochthoudend,Zon,Groen,Wit,Liliaceae,Daglelie,Hemerocallis,5-7,Borderplanten,,,,,,,,,,,,,,,
67,YAR1972,100,Nee,"Juli, Augustus",Droog-vochthoudend,"Zon, Halfschaduw",Groen,Roze,Liliaceae,Daglelie,Hemerocallis,,Borderplanten,,,,,,,,,,,,,,,
68,YAR4048,70,Nee,"Juni, Juli",Vochthoudend,"Zon, Halfschaduw",Groen,Rood,Liliaceae,Daglelie,Hemerocallis,,Borderplanten,,,,,,,,,,,,,,,
69,YAR4059,100,Nee,"Juli, Juni",Droog-vochthoudend,"Zon, Halfschaduw",Groen,Roze,Liliaceae,Daglelie,Hemerocallis,,Borderplanten,,,,,,,,,,,,,,,
70,YAR551,80,Nee,"Juni, Juli, Augustus",Droog-vochthoudend,Zon,Groen,Rood,Liliaceae,Daglelie,Hemerocallis,5-7,Borderplanten,,,,,,,,,,,,,,,
71,YAR2328,150,Ja,"Mei, Juni, April",Vochthoudend-vochtig,Lichte / halfschaduw,Groen,Geel,Berberidaceae,Darwins berberis,Berberis,3-4,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,5.5-8,,,,
72,YAR339,5,Ja,"Juni, Juli",Droog-vochthoudend,Zon,Grijs,Wit,Crassulaceae,Dik vetkruid,Sedum,11-15,Borderplanten,,Zwak zuur tot neutraal,,,,,,,,,,,,,
73,YAR25722,250,Nee,"Mei, Juni",Droog-vochthoudend,Zon,Groen,Wit,Rosaceae,Doornloze braam,,1,Tuin thema's en Meer,Tot -20 graden Celsius,,Ja,,,,,Leiplant,"Klimdraad, Trellis",,,Nee,,,
74,YAR842,25,Ja,"Mei, Juni",Droog-vochthoudend,"Schaduw, Halfschaduw",Groen,Roze,Lamiaceae,Dovenetel,Lamium,,Borderplanten,,,,,,,,,,,,,,,
75,YAR3165,60,Ja,"Mei, Juni",Vochthoudend,"Schaduw, Halfschaduw",Groen,"Roze, Paars",Lamiaceae,Dovenetel,Lamium,,Borderplanten,,,,,,,,,,,,,,,
76,YAR3359,40,Nee,"Mei, Juni",Vochthoudend,"Schaduw, Halfschaduw",Groen,Wit,Lamiaceae,Dovenetel,Lamium,,Borderplanten,,,,,,,,,,,,,,,
77,YAR3754,400,Nee,"April, Mei",Vochthoudend,"Halfschaduw, Zon",Groen,Wit,Rosaceae,Krentenboompje,Amelanchier,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
78,YAR2676,50,Nee,"Oktober, September, Augustus, Juli, Juni",Droog-vochthoudend,Zon,"Groen, Grijs",Oranje,Lamiaceae,Dropplant,Agastache,7-9,Borderplanten,,,Ja,,,,,,,,,,,,
79,YAR3749,50,Nee,"Oktober, September, Augustus, Juli, Juni",Droog-vochthoudend,Zon,"Groen, Grijs",Oranje,Lamiaceae,Dropplant,Agastache,7-9,Borderplanten,,,Ja,,,,,,,,,,,,
80,YAR3498,90,Nee,"Augustus, Juli",Droog-vochthoudend,Zon,"Groen, Grijs","Roze, Rood",Lamiaceae,Dropplant,Agastache,7-9,Borderplanten,,,Ja,,,,,,,,,,,,
81,YAR3750,90,Nee,"Augustus, Juli",Droog-vochthoudend,Zon,"Groen, Grijs","Paars, Blauw",Lamiaceae,Dropplant,Agastache,7-9,Borderplanten,,,Ja,,,,,,,,,,,,
82,YAR4087,40,Ja,"September, Augustus, Juli, Juni",Droog-vochthoudend,"Zon, Halfschaduw","Groen, Grijs","Blauw, Paars",Caprifoliaceae,Duifkruid,Scabiosa,8-11,Borderplanten,,,,,,,,,,,,,,,
83,YAR4056,60,Nee,"Augustus, Juli, Juni",Droog,Zon,Groen,Wit,Asteraceae,Duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,
84,YAR2035,100,Nee,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,"Groen, Grijs",Geel,Asteraceae,Duizendblad,Achillea,8,Borderplanten,,,,,,,,,,,,,,,
85,YAR3578,125,Nee,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,"Groen, Grijs",Geel,Asteraceae,Duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,
86,YAR1939,125,Nee,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,"Groen, Grijs",Rood,Asteraceae,Duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,
87,YAR490,70,Nee,"Augustus, Juli, Juni",Droog,Zon,"Groen, Grijs",Oranje,Asteraceae,Duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,
88,YAR653,80,Nee,"September, Augustus, Juli, Juni",Droog-vochthoudend,Zon,Groen,"Geel, Zwart",Asteraceae,Duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,
89,YAR2140,60,Ja,"Juni, Juli, Augustus",Droog,Zon,Grijs,Geel,Asteraceae,Duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,
90,YAR1559,50,Ja,"Augustus, Juli, Juni",Droog,Zon,"Groen, Grijs",Geel,Asteraceae,Duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,
91,YAR2891,125,Nee,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,"Groen, Grijs","Oranje, Geel",Asteraceae,Duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,
92,YAR4041,100,Nee,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,"Groen, Grijs",Geel,Asteraceae,Duizendblad,Achillea,5-7,Borderplanten,,,,,,,,,,,,,,,
93,YAR802,15,Ja,"Juni, Juli",Vochthoudend,Zon,Grijs,Wit,Asteraceae,Duizendblad,Achillea,11-15,Borderplanten,,Neutraal tot basisch,,,Rotstuin,,,,,,,,,,
94,YAR1083,70,Ja,"Juli, Augustus",Droog,Zon,Grijs,Geel,Asteraceae,Duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,
95,YAR63,125,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,"Groen, Grijs",Geel,Asteraceae,Duizendblad,Achillea,5-7,Borderplanten,,,,,,,,,,,,,,,
96,YAR1638,125,Nee,"Juli, Augustus",Droog,Zon,"Groen, Grijs",Wit,Asteraceae,Duizendblad,Achillea,3-5,Borderplanten,,,,,,,,,,,,,,,
97,YAR1426,30,Nee,"Juni, Juli, Augustus",Droog,Zon,Grijs,Geel,Asteraceae,Duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,
98,YAR957,20,Ja,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,"Groen, Grijs",Geel,Asteraceae,Duizendblad,Achillea,8-11,Borderplanten,,,,,,,,,,,,,,,
99,YAR1097,20,Ja,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,"Groen, Grijs",Geel,Asteraceae,Duizendblad,Achillea,8-11,Borderplanten,,,,,,,,,,,,,,,
100,YAR1521,15,Ja,"Juni, Juli",Vochthoudend,Zon,Grijs,Wit,Asteraceae,Duizendblad,Achillea,11-15,Borderplanten,,,,,Rotstuin,,,,,,,,,,
101,YAR2875,10,Ja,"Juni, Juli, Augustus",Droog-vochthoudend,Zon,Grijs,Geel,Asteraceae,Duizendblad,Achillea,25,Borderplanten,,Neutraal tot basisch,,,,,,,,,,,,,
102,YAR4051,25,Ja,"Oktober, September, Augustus, Juli, Juni",Vochthoudend,"Zon, Halfschaduw",Groen,"Roze, Rood",Polygonaceae,Duizendknoop,Persicaria,8-11,Borderplanten,,,,,,,,,,,,,,,
103,YAR759,20,Ja,"Juli, Augustus, September",Vochthoudend,Zon,Groen,Roze,Polygonaceae,Duizendknoop,Persicaria,8-11,Borderplanten,Ja,,,,Rotstuin,,,,,,,,,,
104,YAR2778,25,Ja,"Oktober, September, Augustus, Juli, Juni",Vochthoudend,Zon,Groen,"Roze, Rood",Polygonaceae,Duizendknoop,Persicaria,8-11,Borderplanten,,,,,Rotstuin,,,,,,,,,,
105,YAR2677,25,Ja,"Oktober, September, Augustus, Juli, Juni",Vochthoudend,Zon,Groen,"Roze, Rood",Polygonaceae,Duizendknoop,Persicaria,9,Borderplanten,,,,,Rotstuin,,,,,,,,,,
106,YAR1132,25,Ja,"Oktober, September, Augustus, Juli, Juni",Vochthoudend,Zon,Groen,Roze,Polygonaceae,Duizendknoop,Persicaria,8-11,Borderplanten,,,,,Rotstuin,,,,,,,,,,
107,YAR3303,25,Ja,"Oktober, September, Augustus, Juli, Juni",Vochthoudend,Zon,Groen,"Roze, Rood",Polygonaceae,Duizendknoop,Persicaria,8-11,Borderplanten,,,,,Rotstuin,,,,,,,,,,
108,YAR3688,100,Nee,"Oktober, September, Augustus, Juli",Droog-vochthoudend,Zon,Groen,Paars,Polygonaceae,Duizendknoop,Persicaria,3-5,Borderplanten,,,,,,,,,,,,,,,
109,YAR3308,90,Nee,"September, Augustus, Juli",Droog-vochthoudend,"Zon, Halfschaduw",Groen,"Paars, Rood",Polygonaceae,Duizendknoop,Persicaria,7-9,Borderplanten,,,,,,,,,,,,,,,
110,YAR1309,90,Nee,"Juli, Augustus, September",Droog-vochthoudend,Zon,Groen,Wit,Polygonaceae,Duizendknoop,Persicaria,7-9,Borderplanten,,,,,,,,,,,,,,,
111,YAR2378,100,Nee,"Oktober, September, Augustus, Juli",Droog-vochthoudend,Zon,Groen,Rood,Polygonaceae,Duizendknoop,Persicaria,3-5,Borderplanten,,,,,,,,,,,,,,,
112,YAR3337,80,Nee,"September, Augustus, Juli, Juni",Droog-vochthoudend,Zon,Groen,Rood,Polygonaceae,Duizendknoop,Persicaria,5-7,Borderplanten,,,,,,,,,,,,,,,
113,YAR1588,90,Nee,"Juli, Augustus, September",Droog-vochthoudend,Zon,Groen,Roze,Polygonaceae,Duizendknoop,Persicaria,7-9,Borderplanten,,,,,,,,,,,,,,,
114,YAR548,90,Nee,"September, Augustus, Juli",Droog-vochthoudend,Zon,Groen,"Roze, Rood",Polygonaceae,Duizendknoop,Persicaria,7-9,Borderplanten,,,,,,,,,,,,,,,
115,YAR3209,70,Nee,"Mei, Juni, Juli",Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Roze,Polygonaceae,Adderwortel,Persicaria,7-9,Borderplanten,,,,,vijvertuin,,,,,,,,,,
116,YAR1408,70,Nee,"Augustus, Juli",Vochthoudend,Schaduw,"Groen, Rood","Roze, Rood",Polygonaceae,Duizendknoop,Persicaria,7-9,Borderplanten,,,,,,,,,,,,,,,
117,YAR3407,70,Nee,"Augustus, Juli",Vochthoudend,Schaduw,"Groen, Wit","Roze, Rood",Polygonaceae,Duizendknoop,Persicaria,7-9,Borderplanten,,,,,,,,,,,,,,,
118,YAR3571,80,Nee,"Oktober, September, Augustus",Droog,Schaduw,"Grijs, Paars",Wit,Polygonaceae,Duizendknoop,Persicaria,3-5,Borderplanten,,,,,,,,,,,,,,,
119,YAR978,120,Nee,"September, Augustus, Juli, Juni",Droog-vochthoudend,Zon,Groen,Wit,Polygonaceae,Duizendknoop,Persicaria,3-5,Borderplanten,,,,,,,,,,,,,,,
120,YAR2933,150,Nee,"Augustus, September",Vochthoudend-vochtig,Zon,Groen,Wit,Polygonaceae,Duizendknoop,Persicaria,5-7,Borderplanten,,,,,,,,,,,,,,,
121,YAR2271,20,Nee,"Juni, Juli",Vochthoudend,Lichte schaduw,Groen,Wit,Polygonaceae,Duizendknoop,Persicaria,11-15,Borderplanten,,,,,Rotstuin,,,,,,,,,,
122,YAR1507,20,Nee,"Juni, Juli, Augustus",Vochthoudend-vochtig,Lichte schaduw,Groen,Wit,Polygonaceae,Duizendknoop,Persicaria,25,Borderplanten,,,,,Rotstuin,,,,,,,,,,
123,YAR1061,75,Nee,,Vochtig,Zon,Groen,,Betulaceae,Dwergberk,Betula,,Bomen,,Zuur tot zwak zuur,,,,,,,,,,,,,
124,YAR2907,100,Nee,"Mei, Juni",Vochthoudend,Lichte schaduw / zon,Wit,Roze,Rosaceae,Dwergmispel,Cotoneaster,,Bodembedekkers,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
125,YAR3227,60,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Groen,Geel,Asteraceae,Echte guldenroede,Solidago,,Borderplanten,,,,,,,,,,,,,,,
126,YAR2164,50,Ja,"Juni, Juli",Droog,Zon,Grijs,Paars,Lamiaceae,Echte salie,Salvia,5-7,Borderplanten,,,,,,,,,,,,,,,
127,YAR2227,50,Ja,"Juni, Juli",Droog,Zon,Grijs,Wit,Lamiaceae,Echte salie,Salvia,5-7,Borderplanten,,,,,,,,,,,,,,,
128,YAR1160,50,Ja,"Juli, Juni",Droog,Zon,"Geel, Gemengd","Paars, Blauw",Lamiaceae,Echte salie,Salvia,5-7,Borderplanten,,,,,,,,,,,,,,,
129,YAR3674,50,Ja,"Juli, Juni",Droog,Zon,"Bruin, Rood","Paars, Blauw",Lamiaceae,Echte salie,Salvia,,Borderplanten,,,,,,,,,,,,,,,
