,Plantnummer:,Maximale groeihoogte (in CM):,Wintergroen?:,Bloeimaand:,Vochtigheid grond:,Positie in de tuin:,Bladkleur:,Bloemkleur:,Plantenfamilie:,Nederlandse naam:,Geslacht:,Plantdichtheid Aantal planten per m2:,Type,winterhard:,Wat voor soort grond past erbij?:,Bijvriendelijk:,Soort bodem:,Type tuin :,Snoeiperiode:,Giftig:,Groeiwijze klimplant:,Ondersteuning klimplant:,Haagplanten per strekkende meter:,pH waarde:,Stekels:,Planttijd:,Voeding / Bemesting:,Voeding periode:,Maintenance,Maintenance description
10,YAR1730,25,Nee,"April, Mei",Vochthoudend,Halfschaduw,Groen,Groen,Araceae,Italiaanse aronskelk,Arum,,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
11,YAR3291,25,Nee,"April, Mei",Vochthoudend,Halfschaduw,Wit,Groen,Araceae,Italiaanse aronskelk,Arum,,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
12,YAR2699,25,Nee,"April, Mei",Vochthoudend,Halfschaduw,Wit,Groen,Araceae,Gevlekte aronskelk,Arum,,Borderplanten,,,,,,,,,,,,,,,,Geen,Snoei is niet nodig bij deze plant.
13,YAR3224,80,Nee,"September, Augustus, Juli, Juni, Mei",Droog-vochthoudend,Zon,Groen,"Paars, Blauw",Dipsacaceae,Beemdkroon,Knautia,,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
14,YAR3056,100,Nee,"Juli, Augustus",Droog-vochthoudend,"Zon, Halfschaduw",Groen,"Paars, Rood",Lamiaceae,Bergamotplant,Monarda,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
15,YAR4061,60,Nee,"Oktober, September, Augustus",Droog-vochthoudend,"Zon, Halfschaduw",Groen,"Paars, Blauw",Asteraceae,Bergaster,Aster,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
16,YAR913,1500,Nee,,Vochthoudend-vochtig,Lichte schaduw / zon,Groen,,Betulaceae,Berk,Betula,,Bomen,,Zwak zuur tot licht basisch,,,"Bostuin, Parken",,,,,,,,,,,Hoog,Kruisende takken of takken die in de weg zitten terugknippen
17,YAR319,450,Nee,"April, Mei",Vochthoudend-vochtig,Zon,Groen,Roze,Magnoliaceae,Beverboom,Magnolia,,Tuin thema's en Meer,,Zuur tot neutraal,,,,Mei,,,,,,,,,,Gemiddeld,De boom hoeft niet echt gesnoeid te worden. Om de boom in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de boom te behouden.
18,YAR3220,500,Nee,"April, Mei",Vochthoudend-vochtig,Halfschaduw,Groen,Roze,Magnoliaceae,Beverboom,Magnolia,,Heesters en Struiken,Ja,Zwak zuur tot licht basisch,,,,,Nee,,,,,,,,,Gemiddeld,De boom hoeft niet echt gesnoeid te worden. Om de boom in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de boom te behouden.
19,YAR2508,40,Ja,"Mei, Juni, Juli, Augustus",Droog-vochthoudend,Zon,"Groen, Grijs","Wit, Roze",Caryophyllaceae,Blaassilene,Silene,,Borderplanten,,,,,,,,,,,,,,,,,
20,YAR1130,120,Nee,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,Groen,"Paars, Blauw",Verbenaceae,Blauwe verbena,Verbena,7-9,Borderplanten,,,,,,,,,,,,,,,,Laag,Teveel zaailingen van de plant kunt u het beste handmatig verwijderen.
21,YAR3750,750,Nee,Mei,Droog-vochthoudend,Zon,Groen,,Vitaceae,Blauwe druif,Vitis,,Klimplanten,Ja,,,,,,,Ranken,"Klimdraad, Spandraad, Multibinder",,,,,,,Hoog,"Tijdstip van snoeien: de beste tijd om te snoeien is eind januari, begin februari. Als het op dat moment te hard vriest (meer van 5 graden Celsius) even wachten met snoeien tot de vorst weer voorbij is. Niet te laat in het voorjaar snoeien, de druif gaat dan ‘bloeden’. Het eerste jaar (jaar van aankoop): bij aankoop bestaat een druif vaak uit een lange rank van ongeveer één meter lang. Snoei deze rank terug op drie ogen (dit zijn knoppen). Laat de druif groeien zoals hij wil en geleid de ranken (= takken) naar de plaats waar u ze wil hebben. Het tweede jaar: snoei de gegroeide ranken voor 1/3 terug. Voorbeeld: 150 cm gegroeid, dan 50 cm afsnoeien (zie tijdstip van snoeien) op een oog (= knop). Daarna zal de ingesnoeide rank weer uit gaan lopen, het uiteinde laat u weer groeien. Op de bestaande rank zullen de ogen (= knoppen) ook uit gaan lopen. Deze uitlopers vormen eerst een aantal bladeren en dan komt het trosje druiven met daarna weer bladeren. Nu moet u twee bladeren na het trosje de jonge scheut toppen (= afknippen). Op deze plaats komt na een aantal weken weer een nieuwe scheut, deze moet u steeds verwijderen. Dit doet u tot het einde van het groeiseizoen.Op deze manier kan al het voedsel naar het druiventrosje. Na de oogst verliest de druif zijn bladeren en gaat in winterrust. Het derde jaar: op het juiste tijdstip (zie eerste punt) gaat u weer snoeien. De ranken waar de trossen aangezeten hebben gaat u terugsnoeien op één oog (= knop). Dit oog loopt in het voorjaar weer uit en u herhaald gedurende het groeiseizoen het vorige punt. Het uiteinde van de rank weer voor 1/3 insnoeien, dit blijft u ieder jaar doen tot de totale lengte van de druif bereikt wordt. De maximale lengte is ongeveer vijf meter. De jaren hierop volgend kunt u op deze wijze blijven snoeien."
22,YAR23518,500,Nee,"Mei, Augustus",Droog-vochthoudend,"Zon, Halfschaduw",Groen,,Vitaceae,Blauwe druif,Vitis,,Tuin thema's en Meer,Ja,,,,,,,Ranken,"Klimdraad, Spandraad, Multibinder",2,,,,,,Hoog,"Tijdstip van snoeien: de beste tijd om te snoeien is eind januari, begin februari. Als het op dat moment te hard vriest (meer van 5 graden Celsius) even wachten met snoeien tot de vorst weer voorbij is. Niet te laat in het voorjaar snoeien, de druif gaat dan ‘bloeden’. Het eerste jaar (jaar van aankoop): bij aankoop bestaat een druif vaak uit een lange rank van ongeveer één meter lang. Snoei deze rank terug op drie ogen (dit zijn knoppen). Laat de druif groeien zoals hij wil en geleid de ranken (= takken) naar de plaats waar u ze wil hebben. Het tweede jaar: snoei de gegroeide ranken voor 1/3 terug. Voorbeeld: 150 cm gegroeid, dan 50 cm afsnoeien (zie tijdstip van snoeien) op een oog (= knop). Daarna zal de ingesnoeide rank weer uit gaan lopen, het uiteinde laat u weer groeien. Op de bestaande rank zullen de ogen (= knoppen) ook uit gaan lopen. Deze uitlopers vormen eerst een aantal bladeren en dan komt het trosje druiven met daarna weer bladeren. Nu moet u twee bladeren na het trosje de jonge scheut toppen (= afknippen). Op deze plaats komt na een aantal weken weer een nieuwe scheut, deze moet u steeds verwijderen. Dit doet u tot het einde van het groeiseizoen.Op deze manier kan al het voedsel naar het druiventrosje. Na de oogst verliest de druif zijn bladeren en gaat in winterrust. Het derde jaar: op het juiste tijdstip (zie eerste punt) gaat u weer snoeien. De ranken waar de trossen aangezeten hebben gaat u terugsnoeien op één oog (= knop). Dit oog loopt in het voorjaar weer uit en u herhaald gedurende het groeiseizoen het vorige punt. Het uiteinde van de rank weer voor 1/3 insnoeien, dit blijft u ieder jaar doen tot de totale lengte van de druif bereikt wordt. De maximale lengte is ongeveer vijf meter. De jaren hierop volgend kunt u op deze wijze blijven snoeien."
23,YAR2694,80,Nee,"Juni, Juli, Augustus",Vochthoudend,Halfschaduw,Groen,Blauw,Papaveraceae,Blauwe klaproos,Meconopsis,11-15,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
24,YAR3582,80,Nee,"Juni, Juli, Augustus",Vochthoudend,Halfschaduw,Groen,Wit,Papaveraceae,Blauwe klaproos,Meconopsis,11-15,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
25,YAR1951,600,Nee,Mei,Vochthoudend,Zon,Groen,Wit,Fabaceae,Blauwe regen,Wisteria,,Klimplanten,,Zwak zuur tot neutraal,,,,,,,,,,,,,,Hoog,Regelmatig de lange scheuten terugknippen tot op 2-3 ogen. De eerste keer in mei en daarna elke keer als de nieuwe scheuten 100-150 cm lang zijn.
26,YAR307,1000,Nee,"April, Mei",Vochthoudend,Zon,Groen,"Paars, Blauw",Fabaceae,Blauweregen,Wisteria,,Klimplanten,,Zwak zuur tot neutraal,,,,,,,,,,,,,,Hoog,Regelmatig de lange scheuten terugknippen tot op 2-3 ogen. De eerste keer in mei en daarna elke keer als de nieuwe scheuten 100-150 cm lang zijn.
27,YAR4265,1000,Nee,Mei,Vochthoudend,Zon,Groen,Roze,Fabaceae,Blauweregen,Wisteria,,Klimplanten,,Zwak zuur tot neutraal,,,,,,,,,,,,,,Hoog,Regelmatig de lange scheuten terugknippen tot op 2-3 ogen. De eerste keer in mei en daarna elke keer als de nieuwe scheuten 100-150 cm lang zijn.
28,YAR53,1000,Nee,Mei,Vochthoudend,Zon,Groen,"Paars, Blauw",Fabaceae,Blauweregen,Wisteria,,Tuin thema's en Meer,,Zwak zuur tot neutraal,,,,,,,,,,,,,,Hoog,Regelmatig de lange scheuten terugknippen tot op 2-3 ogen. De eerste keer in mei en daarna elke keer als de nieuwe scheuten 100-150 cm lang zijn.
29,YAR1977,120,Nee,"Juni, Juli",Vochtig,Halfschaduw / zon,Groen,Wit,Iteaceae,Itea,Itea,,Tuin thema's en Meer,,Zuur tot zwak zuur,,,,,,,,,,,,,,Laag,De plant ieder jaar na de bloei verjongingssnoei toepassen door 1/5 deel van de takken eruit te knippen.
30,YAR4088,130,Nee,"Augustus, Juli",Vochthoudend-vochtig,Halfschaduw,Groen,"Roze, Blauw, Paars",Hydrangeaceae,Hortensia,Hydrangea,1,Tuin thema's en Meer,,,,,,,,,,,,,,,,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.
31,YAR3701,100,Nee,"September, Augustus, Juli, Juni",Vochthoudend-vochtig,Lichte / halfschaduw,Groen,Blauw,Hydrangeaceae,Hortensia,Hydrangea,1,Heesters en Struiken,,Zuur tot neutraal,,,,,,,,,,,,,,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.
32,YAR1257,80,Nee,"Juli, Augustus, September",Droog-vochthoudend,Zon,Groen,Geel,Asteraceae,Boerenwormkruid,Tanacetum,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
33,YAR3266,80,Nee,"Juli, Augustus, September",Droog-vochthoudend,Zon,Groen,Geel,Asteraceae,Boerenwormkruid,Tanacetum,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
34,YAR2358,200,Nee,"Juni, Juli",Droog-vochthoudend,Zon,"Groen, Blauw",Wit,Brassicaceae,Bolletjeskool,Crambe,,Borderplanten,,,,,,,,,,,,,,,,,
35,YAR27141,200-350,Ja,,Droog-vochthoudend,"Zon, Halfschaduw, Schaduw",Groen,,Taxaceae,Bolvormige taxus,Taxus,1,Haagplanten,Tot -25 graden Celsius,Neutraal,,Alle,,,Ja,,,,6-8,,,,,Hoog,De plant is gemakkelijk in vorm te snoeien.
36,YAR370,25,Ja,"Mei, Juni",Droog-vochthoudend,"Schaduw, Halfschaduw","Wit, Groen",Geel,Lamiaceae,Bonte gele dovenetel,Lamiastrum,,Borderplanten,,,,,,,,,,,,,,,,Laag,"De plant is groenblijvend, snoei is niet nodig. Hooguit kan af en toe het oude, lelijk geworden blad weggeknipt worden."
37,YAR2063,600,Ja,"April, Mei",Vochthoudend-vochtig,Lichte schaduw,Wit,Rood,Aquifoliaceae,Bonte hulst,Ilex,,Haagplanten,Ja,Zuur tot zwak zuur,Ja,,,"Mei, September",Ja,,,3-4,,Ja,,,,Gemiddeld,De plant hoeft niet echt gesnoeid te worden. Om de plant in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de plant te behouden.
38,YAR3480,150,Ja,"Juli, Augustus",Droog,Zon,Groen,Geel,Fabaceae,Boomlupine,Lupinus,5-7,Borderplanten,,,,,,,,,,,,,,,,Gemiddeld,De plant bloeit op éénjarig hout. Om een goede groei en bloei te krijgen is het raadzaam de plant elk voorjaar (begin maart) sterk terug te knippen tot op 10-20 cm boven de grond.
39,YAR979,400,Nee,"Juni, Juli, Augustus",Vochthoudend-vochtig,"Halfschaduw, Zon",Groen,Rood,Ranunculaceae,"Clematis, Bosrank",Clematis,,Klimplanten,,Zwak zuur tot licht basisch,,,,,,,,,,,,,,Geen,De plant heeft geen speciale zorg nodig.
40,YAR516,600,Nee,"Juni, Juli",Vochthoudend-vochtig,"Halfschaduw, Zon",Groen,Wit,Ranunculaceae,Bosrank,Clematis,,Klimplanten,,Zwak zuur tot licht basisch,,,,,,Ranken,"Klimdraad, Multibinder, Spandraad",,6-8,,,,,Gemiddeld,De plant bloeit op éénjarig hout. Om een goede groei en bloei te krijgen is het raadzaam de plant elk voorjaar (begin maart) sterk terug te knippen tot op 10-20 cm boven de grond.
41,YAR325,400,Nee,"Juni, Juli",Vochthoudend-vochtig,"Halfschaduw, Zon",Groen,Wit,Ranunculaceae,"Clematis, Bosrank",Clematis,1,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,5.5-8,,,,,Geen,De plant heeft geen speciale zorg nodig.
42,YAR2949,600,Nee,"Juni, Juli, Augustus",Vochthoudend-vochtig,"Halfschaduw, Zon",Groen,Geel,Ranunculaceae,Clematis,Clematis,1-3,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,,Gemiddeld,Het beste kan de plant in maart gesnoeid zodat de bloei in juli/september niet wordt benadeeld.
43,YAR2813,100,Ja,"Juni, Juli",Droog,Zon,Grijs,Geel,Lamiaceae,Brandkruid,Phlomis,5-7,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen speciale zorg nodig.
44,YAR3565,100,Ja,"Juli, Augustus",Droog-vochthoudend,"Zon, Halfschaduw",Groen,Geel,Lamiaceae,Brandkruid,Phlomis,7-9,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen speciale zorg nodig.
45,YAR3435,200,Ja,,Vochthoudend-vochtig,"Halfschaduw, Schaduw","Geel, Gemengd",,Garryaceae,Broodboom,Aucuba,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,,Geen,De plant heeft geen speciale zorg nodig.
46,YAR3783,200,Ja,Mei,Vochthoudend-vochtig,"Halfschaduw, Schaduw",Groen,Rood,Garryaceae,Broodboom,Aucuba,,Tuin thema's en Meer,Ja,Zwak zuur tot licht basisch,,,,"Maart, April, Mei",,,,3-5,5.5-8,,,,,Geen,De plant heeft geen speciale zorg nodig.
47,YAR624,200,Ja,Mei,Vochthoudend-vochtig,"Halfschaduw, Schaduw",Geel,Rood,Garryaceae,Broodboom,Aucuba,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,,Geen,De plant heeft geen speciale zorg nodig.
48,YAR662,2000,Nee,,Vochthoudend-vochtig,Halfschaduw / zon,Bruin,,Fagaceae,Bruine beuk,Fagus,,Bomen,,Neutraal tot basisch,,,,,,,,,,,,,,Gemiddeld,De boom hoeft niet echt gesnoeid te worden. Om de boom in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de boom te behouden.
49,YAR3948,2000,Nee,,Vochthoudend-vochtig,Halfschaduw / zon,"Bruin, Rood",,Fagaceae,Beuk,Fagus,,Haagplanten,,Neutraal tot basisch,,,,,,,,3-4,7-9,,,,,Hoog,Een beukenhaag wordt meestal 2 maal per jaar geschoren. Vaak eenmaal voor de langste dag en een keer aan het eind van de zomer. Het is verstandig om eerst de zijkanten te snoeien en daarna pas de bovenkant. Vewijder zoveel mogelijk de afgeknipte twijgen van de bovenzijde zodat de haag er netjes uit blijft zien. Snoei de haag zodanig dat de haagvoet iets breder blijft dan de bovenzijde van de haag wat een fraaier beeld oplevert.
50,YAR461,30,Ja,,Droog-vochthoudend,Lichte schaduw / zon,Groen,,Buxaceae,Palmboompje,Buxus,3-5,Haagplanten,,Neutraal tot basisch,,,Alle,"Maart, September",,,,3-5,6-8,,Alle,,,,
51,YAR3925,200,Ja,"Maart, April, Mei",,Halfschaduw / zon,Groen,Rood,Theaceae,,Camellia,,Tuin thema's en Meer,Ja,Alle,,,,,,,,,,,,,,,
52,YAR316a,400,Nee,"April, Mei",Vochthoudend-vochtig,"Halfschaduw, Zon",Groen,Wit,Rosaceae,Canadese Krentenboom,Amelanchier,,Tuin thema's en Meer,,Zuur tot zwak zuur,,,,,,,,,,,,,,Geen,De plant heeft geen speciale zorg nodig.
53,YAR3664,500,Nee,April,Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Roze,Rosaceae,Cheal's treurkers,Prunus,,Bomen,,Zwak zuur tot licht basisch,,,,,,,,,,,,,,Gemiddeld,De boom hoeft niet echt gesnoeid te worden. Om de boom in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de boom te behouden.
54,YAR24921,,,,,,,,,,,,Tuin thema's en Meer,,,,,,,,,,,,,,,,,
55,YAR3180,75,Ja,,Droog-vochthoudend,Lichte schaduw / zon,"Groen, Blauw",,Cupressaceae,Chinese jeneverbes,Juniperus,,Tuin thema's en Meer,,Neutraal tot basisch,,,,,,,,,,,,,,Gemiddeld,De plant hoeft niet echt gesnoeid te worden. Om de plant in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de plant te behouden.
56,YAR1276,70,Nee,"September, Oktober",Droog-vochthoudend,Zon,Groen,Roze,Asteraceae,Chrysant,Dendranthema,5-7,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
57,YAR2518,40,Ja,"Juli, Augustus",Droog,Zon,Groen,Wit,Asteraceae,Cipressenkruid,Santolina,5-7,Borderplanten,,,,,,,,,,,,,,,,,
58,YAR500,40,Ja,"Juli, Augustus",Droog,Zon,Grijs,Wit,Asteraceae,Cipressenkruid,Santolina,5-7,Borderplanten,,,,,,,,,,,,,,,,,
59,YAR3201,50,Ja,"Juli, Augustus",Droog,Zon,Blauw,Geel,Asteraceae,Heiligenbloem,Santolina,5-7,Borderplanten,,,,,,,,,,,,,,,,Laag,In het voorjaar kunt u de stengels met 1/3 inkorten.
60,YAR2034,10,Ja,"Juni, Juli",Droog-vochthoudend,Zon,"Geel, Gemengd",Paars,Lamiaceae,Citroentijm,Thymus,,Borderplanten,,,,,,,,,,,,,,,,Laag,"De plant is groenblijvend, snoei is niet nodig. Hooguit kan af en toe het oude, lelijk geworden blad weggeknipt worden."
61,YAR2919,15,Ja,"Juni, Juli",Droog-vochthoudend,Zon,"Geel, Gemengd",Paars,Lamiaceae,Citroentijm,Thymus,,Borderplanten,,,,,,,,,,,,,,,,Laag,"De plant is groenblijvend, snoei is niet nodig. Hooguit kan af en toe het oude, lelijk geworden blad weggeknipt worden."
62,YAR431,80,Nee,"Juni, Juli, Augustus",Droog-vochthoudend,Zon,Groen,Paars,Liliaceae,Daglelie,Hemerocallis,5-7,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen speciale zorg nodig.
63,YAR637,60,Nee,"Juni, Juli, Augustus",Droog-vochthoudend,Zon,Groen,Rood,Liliaceae,Daglelie,Hemerocallis,5-7,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen speciale zorg nodig.
64,YAR668,70,Nee,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,Groen,"Rood, Bruin",Liliaceae,Daglelie,Hemerocallis,5-7,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen speciale zorg nodig.
65,YAR752,70,Nee,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,Groen,Geel,Liliaceae,Daglelie,Hemerocallis,5-7,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen speciale zorg nodig.
66,YAR616,80,Nee,"Juni, Juli, Augustus",Droog-vochthoudend,Zon,Groen,Wit,Liliaceae,Daglelie,Hemerocallis,5-7,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen speciale zorg nodig.
67,YAR1972,100,Nee,"Juli, Augustus",Droog-vochthoudend,"Zon, Halfschaduw",Groen,Roze,Liliaceae,Daglelie,Hemerocallis,,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen speciale zorg nodig.
68,YAR4048,70,Nee,"Juni, Juli",Vochthoudend,"Zon, Halfschaduw",Groen,Rood,Liliaceae,Daglelie,Hemerocallis,,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen speciale zorg nodig.
69,YAR4059,100,Nee,"Juli, Juni",Droog-vochthoudend,"Zon, Halfschaduw",Groen,Roze,Liliaceae,Daglelie,Hemerocallis,,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen speciale zorg nodig.
70,YAR551,80,Nee,"Juni, Juli, Augustus",Droog-vochthoudend,Zon,Groen,Rood,Liliaceae,Daglelie,Hemerocallis,5-7,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen speciale zorg nodig.
71,YAR2328,150,Ja,"Mei, Juni, April",Vochthoudend-vochtig,Lichte / halfschaduw,Groen,Geel,Berberidaceae,Darwins berberis,Berberis,3-4,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,5.5-8,,,,,Gemiddeld,De plant hoeft niet echt gesnoeid te worden. Om de plant in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de plant te behouden.
72,YAR339,5,Ja,"Juni, Juli",Droog-vochthoudend,Zon,Grijs,Wit,Crassulaceae,Dik vetkruid,Sedum,11-15,Borderplanten,,Zwak zuur tot neutraal,,,,,,,,,,,,,,Laag,De plant kunt u het beste in de zomer niet teveel water geven. Wanneer u wel water gaat geven dan kunt u dat het beste s ochtends voor 10 uur doen. Dit heeft te maken met het het mogelijk optreden van een schimmel ( Volutella pachysandri) die tot uitval van de plant kan leiden. Door s ochtends te sproeien gaat de plant s avonds droog de nacht in.
73,YAR25722,250,Nee,"Mei, Juni",Droog-vochthoudend,Zon,Groen,Wit,Rosaceae,Doornloze braam,,1,Tuin thema's en Meer,Tot -20 graden Celsius,,Ja,,,,,Leiplant,"Klimdraad, Trellis",,,Nee,,,,Hoog,Na het planten de bestaande scheut insnoeien tot 30 cm boven de grond. De nieuwe scheuten die uit de grond komen aanbinden. Maximaal 4 scheuten per plant aanhouden. Het tweede jaar dragen deze scheuten vruchten. Ook het tweede jaar weer 4 nieuwe grondscheuten aanbinden. U heeft dan 4 vruchtdragende en 4 nieuwe scheuten. Na de oogst worden de gedragen scheuten geheel verwijderd. Zo kunt u jaren doorgaan.
