,Name,Type,Birds,Bees,Butterflies,Hedgehogs,Squirrels,Flowering period,Leaf color,Flower color,Evergreen,Plant growth,Sun exposure,Soil moisture,Maintenance,Maintenance description,Photo
15,Bergaster-Aster-amellus,Borderplanten,,Ja,Ja,,,"Oktober, September, Augustus",Groen,"Paars, Blauw",Nee,60,"Zon, Halfschaduw",Droog-vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Screenshot_20210827-135843_Drive_3.jpg']"
16,Berk-Betula-ermanii-Blush,Bomen,Ja,,,,,,Groen,,Nee,1500,Lichte schaduw / zon,Vochthoudend-vochtig,Hoog,Kruisende takken of takken die in de weg zitten terugknippen,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1171_src.jpg']"
17,Beverboom-Magnolia-Heaven-Scent,Heesters en Struiken,Ja,Ja,Ja,Ja,,"April, Mei",Groen,Roze,Nee,450,Zon,Vochthoudend-vochtig,Gemiddeld,De boom hoeft niet echt gesnoeid te worden. Om de boom in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de boom te behouden.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_102_src.jpg']"
18,Beverboom-Magnolia-Susan,Heesters en Struiken,Ja,Ja,Ja,,,"April, Mei",Groen,Roze,Nee,500,Halfschaduw,Vochthoudend-vochtig,Gemiddeld,De boom hoeft niet echt gesnoeid te worden. Om de boom in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de boom te behouden.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/20200513_161829.jpg']"
19,Blaassilene-Silene-vulgaris,Borderplanten,,Ja,Ja,,,"Mei, Juni, Juli, Augustus","Groen, Grijs","Wit, Roze",Ja,40,Zon,Droog-vochthoudend,,,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2530_src.jpg']"
20,Blauwe-Verbena-Verbena-Hastata,Borderplanten,,Ja,Ja,,,"Augustus, Juli, Juni",Groen,"Paars, Blauw",Nee,120,Zon,Droog-vochthoudend,Laag,Teveel zaailingen van de plant kunt u het beste handmatig verwijderen.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1289_src.jpg']"
21,Blauwe-druif-Vitis-Boskoopse-glorie,Klimplanten,Ja,,,,,Mei,Groen,,Nee,750,Zon,Droog-vochthoudend,Hoog,"Tijdstip van snoeien: de beste tijd om te snoeien is eind januari, begin februari. Als het op dat moment te hard vriest (meer van 5 graden Celsius) even wachten met snoeien tot de vorst weer voorbij is. Niet te laat in het voorjaar snoeien, de druif gaat dan ‘bloeden’. Het eerste jaar (jaar van aankoop): bij aankoop bestaat een druif vaak uit een lange rank van ongeveer één meter lang. Snoei deze rank terug op drie ogen (dit zijn knoppen). Laat de druif groeien zoals hij wil en geleid de ranken (= takken) naar de plaats waar u ze wil hebben. Het tweede jaar: snoei de gegroeide ranken voor 1/3 terug. Voorbeeld: 150 cm gegroeid, dan 50 cm afsnoeien (zie tijdstip van snoeien) op een oog (= knop). Daarna zal de ingesnoeide rank weer uit gaan lopen, het uiteinde laat u weer groeien. Op de bestaande rank zullen de ogen (= knoppen) ook uit gaan lopen. Deze uitlopers vormen eerst een aantal bladeren en dan komt het trosje druiven met daarna weer bladeren. Nu moet u twee bladeren na het trosje de jonge scheut toppen (= afknippen). Op deze plaats komt na een aantal weken weer een nieuwe scheut, deze moet u steeds verwijderen. Dit doet u tot het einde van het groeiseizoen.Op deze manier kan al het voedsel naar het druiventrosje. Na de oogst verliest de druif zijn bladeren en gaat in winterrust. Het derde jaar: op het juiste tijdstip (zie eerste punt) gaat u weer snoeien. De ranken waar de trossen aangezeten hebben gaat u terugsnoeien op één oog (= knop). Dit oog loopt in het voorjaar weer uit en u herhaald gedurende het groeiseizoen het vorige punt. Het uiteinde van de rank weer voor 1/3 insnoeien, dit blijft u ieder jaar doen tot de totale lengte van de druif bereikt wordt. De maximale lengte is ongeveer vijf meter. De jaren hierop volgend kunt u op deze wijze blijven snoeien.","[""https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Vitis-'Boskoop-Glory'-Druif.jpg""]"
22,Blauwe-druif-Vitis-Regent,Heesters en Struiken,Ja,,,,,"Mei, Augustus",Groen,,Nee,500,"Zon, Halfschaduw",Droog-vochthoudend,Hoog,"Tijdstip van snoeien: de beste tijd om te snoeien is eind januari, begin februari. Als het op dat moment te hard vriest (meer van 5 graden Celsius) even wachten met snoeien tot de vorst weer voorbij is. Niet te laat in het voorjaar snoeien, de druif gaat dan ‘bloeden’. Het eerste jaar (jaar van aankoop): bij aankoop bestaat een druif vaak uit een lange rank van ongeveer één meter lang. Snoei deze rank terug op drie ogen (dit zijn knoppen). Laat de druif groeien zoals hij wil en geleid de ranken (= takken) naar de plaats waar u ze wil hebben. Het tweede jaar: snoei de gegroeide ranken voor 1/3 terug. Voorbeeld: 150 cm gegroeid, dan 50 cm afsnoeien (zie tijdstip van snoeien) op een oog (= knop). Daarna zal de ingesnoeide rank weer uit gaan lopen, het uiteinde laat u weer groeien. Op de bestaande rank zullen de ogen (= knoppen) ook uit gaan lopen. Deze uitlopers vormen eerst een aantal bladeren en dan komt het trosje druiven met daarna weer bladeren. Nu moet u twee bladeren na het trosje de jonge scheut toppen (= afknippen). Op deze plaats komt na een aantal weken weer een nieuwe scheut, deze moet u steeds verwijderen. Dit doet u tot het einde van het groeiseizoen.Op deze manier kan al het voedsel naar het druiventrosje. Na de oogst verliest de druif zijn bladeren en gaat in winterrust. Het derde jaar: op het juiste tijdstip (zie eerste punt) gaat u weer snoeien. De ranken waar de trossen aangezeten hebben gaat u terugsnoeien op één oog (= knop). Dit oog loopt in het voorjaar weer uit en u herhaald gedurende het groeiseizoen het vorige punt. Het uiteinde van de rank weer voor 1/3 insnoeien, dit blijft u ieder jaar doen tot de totale lengte van de druif bereikt wordt. De maximale lengte is ongeveer vijf meter. De jaren hierop volgend kunt u op deze wijze blijven snoeien.","[""https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Vitis-'Regent'-Druif.jpg""]"
23,Blauwe-klaproos-Meconopsis-betonicifolia,Borderplanten,,Ja,,,,"Juni, Juli, Augustus",Groen,Blauw,Nee,80,Halfschaduw,Vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_4046_src.jpg']"
24,Blauwe-klaproos-Meconopsis-betonicifolia-Alba,Borderplanten,,Ja,,,,"Juni, Juli, Augustus",Groen,Wit,Nee,80,Halfschaduw,Vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3524_src.jpg']"
25,Blauwe-regen-Wisteria-floribunda-Shiro-noda,Klimplanten,,Ja,Ja,,,Mei,Groen,Wit,Nee,600,Zon,Vochthoudend,Hoog,Regelmatig de lange scheuten terugknippen tot op 2-3 ogen. De eerste keer in mei en daarna elke keer als de nieuwe scheuten 100-150 cm lang zijn.,"[""https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Wisteria-floribunda-'Shiro-noda'.png""]"
26,Blauwe-regen-Wisteria-sinensis-Boskoop,Klimplanten,Ja,Ja,Ja,,,"April, Mei",Groen,"Paars, Blauw",Nee,1000,Zon,Vochthoudend,Hoog,Regelmatig de lange scheuten terugknippen tot op 2-3 ogen. De eerste keer in mei en daarna elke keer als de nieuwe scheuten 100-150 cm lang zijn.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Blauwe-regen-Wisteria-sinensis-Boskoop.jpg']"
27,Blauwe-regen-Wisteria-sinensis-Rosea,Klimplanten,Ja,Ja,Ja,,,Mei,Groen,Roze,Nee,1000,Zon,Vochthoudend,Hoog,Regelmatig de lange scheuten terugknippen tot op 2-3 ogen. De eerste keer in mei en daarna elke keer als de nieuwe scheuten 100-150 cm lang zijn.,"[""https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Blauweregen-Wisteria-sinensis-'Rosea'-tuinplanten.png""]"
28,Blauweregen-Wisteria-floribunda-Domino,Heesters en Struiken,,Ja,Ja,,,Mei,Groen,"Paars, Blauw",Nee,1000,Zon,Vochthoudend,Hoog,Regelmatig de lange scheuten terugknippen tot op 2-3 ogen. De eerste keer in mei en daarna elke keer als de nieuwe scheuten 100-150 cm lang zijn.,"[""https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Blauweregen-Wisteria-floribunda-'Domino'.png""]"
29,bloemwilg-itea-virginica-henry-s-garnet/,Heesters en Struiken,Ja,,Ja,Ja,,"Juni, Juli",Groen,Wit,Nee,120,Halfschaduw / zon,Vochtig,Laag,De plant ieder jaar na de bloei verjongingssnoei toepassen door 1/5 deel van de takken eruit te knippen.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1970_src.jpg']"
30,Boerenhortensia-Hydrangea-macrophylla,Heesters en Struiken,,Ja,Ja,,,"Augustus, Juli",Groen,"Roze, Blauw, Paars",Nee,130,Halfschaduw,Vochthoudend-vochtig,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Boerenhortensia-Hydrangea-macrophylla-bloei-roze-.jpg']"
31,Boerenhortensia-Hydrangea-macrophylla-Nikko-Blue,Heesters en Struiken,Ja,Ja,Ja,Ja,,"September, Augustus, Juli, Juni",Groen,Blauw,Nee,100,Lichte / halfschaduw,Vochthoudend-vochtig,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.,"[""https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Boerenhortensia-Hydrangea-macrophylla-'Nikko-Blue'.jpg""]"
32,Boerenwormkruid-Tanacetum-vulgare,Borderplanten,Ja,Ja,Ja,,,"Juli, Augustus, September",Groen,Geel,Nee,80,Zon,Droog-vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/20210906_085600_1.jpg']"
33,Boerenwormkruid-Tanacetum-vulgare-Crispum,Borderplanten,Ja,Ja,Ja,,,"Juli, Augustus, September",Groen,Geel,Nee,80,Zon,Droog-vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/20210906_085600.jpg']"
34,Bolletjeskool-Crambe-cordifolia,Borderplanten,,Ja,Ja,,,"Juni, Juli","Groen, Blauw",Wit,Nee,200,Zon,Droog-vochthoudend,,,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2443_src.jpg']"
35,Bolvormige-taxus-Taxus-media-Hillii,Haagplanten,Ja,,,,,,Groen,,Ja,200-350,"Zon, Halfschaduw, Schaduw",Droog-vochthoudend,Hoog,De plant is gemakkelijk in vorm te snoeien.,"[""https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Taxus-media-'Hillii'_1.jpg""]"
36,Bonte-gele-Dovenetel-Lamiastrum-galeobdolon-Florentinum,Borderplanten,Ja,,,,,"Mei, Juni","Wit, Groen",Geel,Ja,25,"Schaduw, Halfschaduw",Droog-vochthoudend,Laag,"De plant is groenblijvend, snoei is niet nodig. Hooguit kan af en toe het oude, lelijk geworden blad weggeknipt worden.","['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_153_src.jpg']"
37,Bonte-hulst-Ilex-aquifolium-Argentea-Marginata,Haagplanten,Ja,,,,,"April, Mei",Wit,Rood,Ja,600,Lichte schaduw,Vochthoudend-vochtig,Gemiddeld,De plant hoeft niet echt gesnoeid te worden. Om de plant in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de plant te behouden.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/ae709bfd-4144-48ab-9825-d1c6bea69c5e.jpeg']"
38,Boomlupine-Lupinus-arboreus-Golden-Spire,Borderplanten,,Ja,Ja,,,"Juli, Augustus",Groen,Geel,Ja,150,Zon,Droog,Gemiddeld,De plant bloeit op éénjarig hout. Om een goede groei en bloei te krijgen is het raadzaam de plant elk voorjaar (begin maart) sterk terug te knippen tot op 10-20 cm boven de grond.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_4028_src.jpg']"
39,Bosrank-Clematis-Niobe,Klimplanten,,Ja,Ja,,,"Juni, Juli, Augustus",Groen,Rood,Nee,400,"Halfschaduw, Zon",Vochthoudend-vochtig,Geen,De plant heeft geen speciale zorg nodig.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1040_src.jpg']"
40,Bosrank-Clematis-Vitalba,Klimplanten,Ja,Ja,Ja,,,"Juni, Juli",Groen,Wit,Nee,600,"Halfschaduw, Zon",Vochthoudend-vochtig,Gemiddeld,De plant bloeit op éénjarig hout. Om een goede groei en bloei te krijgen is het raadzaam de plant elk voorjaar (begin maart) sterk terug te knippen tot op 10-20 cm boven de grond.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Bosrank-Clematis-Vitalba.jpg']"
41,Bosrank-Clematis-flammula,Heesters en Struiken,,Ja,Ja,,,"Juni, Juli",Groen,Wit,Nee,400,"Halfschaduw, Zon",Vochthoudend-vochtig,Geen,De plant heeft geen speciale zorg nodig.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_108_src.jpg']"
42,Bosrank-Clematis-rehderiana,Heesters en Struiken,,Ja,Ja,,,"Juni, Juli, Augustus",Groen,Geel,Nee,600,"Halfschaduw, Zon",Vochthoudend-vochtig,Gemiddeld,Het beste kan de plant in maart gesnoeid zodat de bloei in juli/september niet wordt benadeeld.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3938_src.jpg']"
43,Brandkruid-Phlomis-fruticosa,Borderplanten,,Ja,,,,"Juni, Juli",Grijs,Geel,Ja,100,Zon,Droog,Geen,De plant heeft geen speciale zorg nodig.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3550_src.jpg']"
44,Brandkruid-Phlomis-russeliana,Borderplanten,,Ja,,,,"Juli, Augustus",Groen,Geel,Ja,100,"Zon, Halfschaduw",Droog-vochthoudend,Geen,De plant heeft geen speciale zorg nodig.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3493_src.jpg']"
45,Broodboom-Aucuba-japonica-Angelon,Heesters en Struiken,Ja,,,,,,"Geel, Gemengd",,Ja,200,"Halfschaduw, Schaduw",Vochthoudend-vochtig,Geen,De plant heeft geen speciale zorg nodig.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3904_src.jpg']"
46,Broodboom-Aucuba-japonica-Golden-king,Heesters en Struiken,Ja,,,,,Mei,Groen,Rood,Ja,200,"Halfschaduw, Schaduw",Vochthoudend-vochtig,Geen,De plant heeft geen speciale zorg nodig.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/aucuba-broodboom-golden-king.jpg']"
47,Broodboom-Aucuba-japonica-Variegata,Heesters en Struiken,Ja,,,,,Mei,Geel,Rood,Ja,200,"Halfschaduw, Schaduw",Vochthoudend-vochtig,Geen,De plant heeft geen speciale zorg nodig.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/IMG-6047_1.jpg']"
48,Bruine-beuk-Fagus-sylvatica-Atropunicea-boom,Bomen,,,,Ja,,,Bruin,,Nee,2000,Halfschaduw / zon,Vochthoudend-vochtig,Gemiddeld,De boom hoeft niet echt gesnoeid te worden. Om de boom in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de boom te behouden.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/IMG-20200522-WA0038.jpg']"
49,rode-bruine-beukenhaag-fagus-sylvatica/,Haagplanten,Ja,,,Ja,,,"Bruin, Rood",,Nee,2000,Halfschaduw / zon,Vochthoudend-vochtig,Hoog,Een beukenhaag wordt meestal 2 maal per jaar geschoren. Vaak eenmaal voor de langste dag en een keer aan het eind van de zomer. Het is verstandig om eerst de zijkanten te snoeien en daarna pas de bovenkant. Vewijder zoveel mogelijk de afgeknipte twijgen van de bovenzijde zodat de haag er netjes uit blijft zien. Snoei de haag zodanig dat de haagvoet iets breder blijft dan de bovenzijde van de haag wat een fraaier beeld oplevert.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/rsz_20200517_081906.jpg']"
50,Buxus-sempervirens-Buxushaag-Palmboompje,Haagplanten,,,,Ja,,,Groen,,Ja,30,Lichte schaduw / zon,Droog-vochthoudend,,,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Buxus-haag.jpg']"
51,Camelia-Camellia-japonica-Lady-Campbell,Heesters en Struiken,,Ja,Ja,,,"Maart, April, Mei",Groen,Rood,Ja,200,Halfschaduw / zon,,,,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/IMG_1955.jpg']"
52,Canadese-krentenboompje-Amelanchier-canadensis,Heesters en Struiken,Ja,,,,,"April, Mei",Groen,Wit,Nee,400,"Halfschaduw, Zon",Vochthoudend-vochtig,Geen,De plant heeft geen speciale zorg nodig.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/IMG_9159.jpg']"
53,cheal-treurkers-prunus-serrulata-kiku-shidare-zakura/,Bomen,Ja,Ja,Ja,,Ja,April,Groen,Roze,Nee,500,Lichte schaduw / zon,Vochthoudend-vochtig,Gemiddeld,De boom hoeft niet echt gesnoeid te worden. Om de boom in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de boom te behouden.,"[""https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Cheal's-treurkers-Prunus-serrulata-'Kiku-shidare-zakura'.jpeg""]"
54,Chinese-Hazelaar-corylus-chinensis,Heesters en Struiken,Ja,,,,,,,,,,,,,,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/chinese-hazelaar.jpg']"
55,Chinese-jeneverbes-Juniperus-chinensis-Blaauw,Heesters en Struiken,Ja,,,,,,"Groen, Blauw",,Ja,75,Lichte schaduw / zon,Droog-vochthoudend,Gemiddeld,De plant hoeft niet echt gesnoeid te worden. Om de plant in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de plant te behouden.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3347_src.jpg']"
56,Chrysant-Dendranthema-Clara-Curtis,Borderplanten,,Ja,Ja,,,"September, Oktober",Groen,Roze,Nee,70,Zon,Droog-vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1435_src.jpg']"
57,Cipressenkruid-Santolina-chamaecyparissus-var-lindavica,Borderplanten,,Ja,Ja,,,"Juli, Augustus",Groen,Wit,Ja,40,Zon,Droog,,,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2546_src.jpg']"
